Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Confidence in national government,Democratic Quality,Delivery Quality,Class
7.501875877,10.72600937,0.956536889,70.73917389,0.921448231,0.337370366,0.398591846,0.636186302,1.195659637,1.856004,0
7.501394272,10.62368298,0.967144907,72.05354309,0.9232077,0.297882915,0.712598741,0.456565946,1.363351226,1.551135063,0
7.498802662,10.7004528,0.949809194,71.11972046,0.921734452,0.159619883,0.678936899,0.417099237,1.410333991,1.620333314,0
7.498070717,10.66135502,0.980283201,72.75598145,0.94048512,0.293037444,0.638661802,0.427228123,1.342286944,1.593127012,0
7.496018887,10.66761875,0.97024262,71.5181427,0.904699981,0.128606394,0.253086656,0.602851212,1.318448424,1.973138213,0
7.492803574,10.95462418,0.958796322,73.17375946,0.949401438,0.047115862,0.283089578,0.75163132,1.481070995,2.016315699,0
7.48782444,10.59473801,0.94284451,71.07483673,0.915057838,0.232484281,0.412622124,0.608264029,1.264292479,1.827808738,0
7.485603809,10.63612556,0.938707411,70.85425568,0.92631495,0.247582316,0.369587809,0.590370953,1.224689126,1.8133744,0
7.47845459,9.713837624,0.931575835,63.98104858,0.768256962,-0.170376584,0.754268944,0.588830411,-1.063392043,-1.404302955,0
7.473252773,10.90654278,0.951352119,71.67214203,0.91895771,0.277742356,0.407931417,0.631593525,1.393665195,1.871122718,0
7.470715523,10.72351742,0.938884676,71.0919342,0.877118647,0.276099622,0.433753788,0.574513912,1.396525025,1.886309624,0
7.470512867,10.70218182,0.944156826,70.98503876,0.939355612,0.123059697,0.702721,0.406920105,1.297982574,1.558461547,0
7.458519936,10.95832348,0.927628279,73.17375946,0.933947086,0.075722456,0.301562965,0.798536718,1.39024353,1.980968714,0
7.451879501,10.74780178,0.943854094,70.20897675,0.896018088,0.331876278,0.445436567,0.661945999,1.150976777,1.87118113,0
7.450047016,10.6306715,0.95451957,71.8523407,0.932058573,0.302013636,0.366127402,0.609752893,1.154312849,1.815897942,0
7.447925568,10.56838703,0.947800577,71.33779144,0.929861903,0.10091465,0.223369658,0.55760026,1.29203546,1.997026682,0
7.444635868,10.58223915,0.940869093,70.97862244,0.918625355,0.028551169,0.305770457,0.420593739,1.47943902,2.041153908,0
7.444470882,11.05752373,0.941161931,71.086586,0.956316173,0.154694989,0.404825836,0.699690521,1.402022839,1.932635188,0
7.442546368,9.699892998,0.759138405,67.46112823,0.738716662,-0.170896098,0.614747047,0.395571351,-0.302915752,-0.060540289,0
7.434010506,10.6799593,0.915648043,71.96144867,0.935910523,0.146141112,0.324481547,0.579855025,1.392944098,2.019759655,0
7.433147907,10.32739449,0.892696559,71.69803619,0.722269237,0.132999763,0.891295373,0.271090537,-0.274004251,1.119241357,0
7.432132244,9.428125381,0.917678237,68.41381073,0.922735691,0.098295353,0.819655001,0.445800394,0.759399533,0.379517972,0
7.426053524,10.63502026,0.921669245,71.51599884,0.950925291,0.239189044,0.432991534,0.553290546,1.228660107,1.795956492,0
7.420209408,10.59445572,0.927739382,70.67289734,0.920968115,-0.012045811,0.360733956,0.597941577,1.50073123,2.059122801,0
7.418120861,10.46163177,0.98734349,71.52307129,0.941784263,0.319662869,0.185888708,0.620907664,1.540097475,2.020609856,0
7.418048382,10.60834694,0.961552441,70.50089264,0.957306266,0.238196388,0.502681196,0.442817539,1.168248773,1.748818517,0
